id,familyKey,familyName,name,familyNameAr,nameAr,DozenPrice,pcsPerCarton,cartonPrice,imageFile,imageExists,badge,badgeAr,enabled,varianttype,varianttypeAr,rowType,sortOrder,printed
62,TaqmkokoKbyr,,Taqm koko Kbyr Fluorescent Printed,,طقم كوكو كبير فسفورى مطبوع,60,40,2400,Taqm koko Kbyr Fluorescent Printed.jpg,TRUE,,,1,,,,,TRUE
63,TaqmkokoKbyr,,Taqm koko Kbyr Ivory Printed,,طقم كوكو كبير سن فيل مطبوع,60,40,2400,Taqm koko Kbyr Ivory Printed.jpg,TRUE,,,1,,,,,TRUE
64,TaqmkokoKbyr,,Taqm Kwkwkbyr Black Printed,,طقم كوكوكبير اسود مطبوع,60,40,2400,Taqm Kwkwkbyr Black Printed.jpg,TRUE,,,1,,,,,TRUE
family-Gawhara,Gawhara,Gawhara Combs,,أمشاط الجوهرة,,,,,,TRUE,,,1,,,parent,15,FALSE
65,Gawhara,,Mesht Al Gawhara Colors,,الجوهرة الوان,20,120,2400,Mesht Al Gawhara Colors.jpg,TRUE,,,1,,,,,FALSE
66,Gawhara,,Gawhara Fluorescent Boxed,,الجوهرة فسفورى علبة,44,72,3168,Gawhara Fluorescent Boxed.jpg,TRUE,,,1,,,,,FALSE
67,Gawhara,,Mesht Al Gawhara Two-Tone Colors,,الجوهرة 2 لون,35,120,4200,Mesht Al Gawhara Two-Tone Colors.jpg,FALSE,,,1,,,,,FALSE
68,Gawhara,,Mesht Gawhara Black,,الجوهرة اسود عادة,15,120,1800,Mesht Gawhara Black.jpg,TRUE,,,1,,,,,FALSE
69,Gawhara,,Mesht Al Gawhara Two-Tone Colors Printed,,الجوهرة 2 لون مطبوع,60,40,2400,Mesht Al Gawhara Two-Tone Colors Printed.jpg,FALSE,,,1,,,,,TRUE
70,Gawhara,,Al Gawhara Glass Colors Printed,,الجوهرة زجاج الوان مطبوع,80,40,3200,Al Gawhara Glass Colors Printed.jpg,FALSE,,,1,,,,,TRUE
71,Gawhara,,Al Gawhara Glass Honey Printed,,الجوهرة زجاج عسلى مطبوع,80,40,3200,Al Gawhara Glass Honey Printed.jpg,TRUE,,,1,,,,,TRUE
72,Gawhara,,Al Gawhara Glass Black Printed,,الجوهرة زجاج اسود مطبوع,60,40,2400,Al Gawhara Glass Black Printed.jpg,TRUE,,,1,,,,,TRUE
